k_products,name,price,condition,k_categories
MCO1003580531,"Silla De Oficina Jamundí Base Nylon Mueblesya Ergo",369900,new,MCO113544
MCO1018082450,"Uniforme Enfermeria Estetica Antifluido Scrub ",56905,new,MCO441893
MCO1021671915,"Combo 2 Ventiladores Samurai Air Maxx Blanco Con A",239800,new,MCO115346
MCO1021694923,"Regadera Cuadrada Ducha Inoxidable 20 X 20 Cm Con ",29900,new,MCO411026
MCO1022676703,"Protector Forro Cubre Asiento Carro Perros Mascota",144990,new,MCO407376
MCO1023132577,"Vitafer Energizante X500ml - mL a $28890",28890,new,MCO442309
MCO1023133112,"Silla De Escritorio Urban Design Bl-2001 / Sa-4006",304900,new,MCO113544
MCO1031567912,"Guantes De Nitrilo Negro Caja X100 Unds",30000,new,MCO169105
MCO1036009191,"Uniforme Antifluido Dama",56905,new,MCO441893
MCO1036794678,"Nintendo Switch Oled 64gb Splatoon 3 Edition Color",1454900,new,MCO2931
MCO1036936057,"God Of War Ragnarök  Standard Edition Sony Ps4 Fís",200506,new,MCO163237
MCO1037658202,"Audífonos In-ear Inalámbricos Bluetooth F9-5 Negro",24250,new,MCO3697
MCO1052148226,"Máquina Recortadora Vgr V-228 Dorada 100v/240v",49900,new,MCO5411
MCO1052185573,"Google Chromecast 4 Tv Cuarta Generación Hdr ",245655,new,MCO176837
MCO1052199080,"Micrófonos Inalámbricos Solapa 2 En 1 Para iPhone ",92055,new,MCO4633
MCO1063452507,"Bicicleta Estática Urbanfit Pro Sh-612 Para Spinni",599900,new,MCO31049
MCO1076797735,"Cargador iPhone Carga Rapida Completo 7/8/x/11/12/",69300,new,MCO39268
MCO1083654225,"Mini Baileys Tripack Económico Original - mL a $12",37900,new,MCO442299
MCO1084135327,"Hidrolavadora Inalambrica Portátil Recargable 48v ",144900,new,MCO166618
MCO1119327698,"Memoria Micro Sd 64 Gb Clase 10 Np Ultra Rapida Pa",17500,new,MCO7908
MCO1143460951,"Cinta Doble Cara Extra Fuerte Vhb Trasparente 3m 1",33155,new,MCO180001
MCO1143704884,"Cámara De Seguridad Tp-link Tapo C200 V1 Tapo Smar",146300,new,MCO5844
MCO1146462576,"Disco Sólido Ssd Interno Western Digital Wd Green ",88400,new,MCO1672
MCO1146690217,"Combo Teclado Y Mouse Inalambrico Tj-808 Español Ñ",39990,new,MCO6263
MCO1149628905,"Gel Definidor De Rizos Etniker - g a $66",18624,new,MCO388015
MCO1149951426,"Escalera Tijera 5 Pasos Tipo Iii Con Bandeja Trupe",253807,new,MCO172892
MCO1156998687,"Carrasca Valle Natera Guacharaca + Trincho",35900,new,MCO413431
MCO1166708894,"Apple iPhone 13 (128 Gb) - Azul Medianoche",3299900,new,MCO1055
MCO1173011509,"Silla Escritorio Ergonomica Oficina Giratoria Secr",217900,new,MCO113544
MCO1174859134,"Minoxidil 5% Para Cabello/barba - Ml A - mL a $997",31952,new,MCO1266
MCO1188481332,"Aguardiente Amarillo De Manzana Sin Azúca - L a $9",61546,new,MCO442299
MCO1191948371,"Televisor Kalley 32  Atv32hdw Hd Led Plano Smart T",703900,new,MCO14903
MCO1195344854,"Arena Fofi Cat - 25 Kg",107000,new,MCO116338
MCO1196335417,"Aguardiente Amarillo Litro - mL a $78",78000,new,MCO442299
MCO1197239895,"Cera Capilar #1 Classic Matte Salon In R - g a $39",28405,new,MCO388015
MCO1217054759,"Ventilador Samurai Air Maxx Blanco Con Azul",139900,new,MCO115346
MCO1229804522,"Kit Regadera Cuadrada Ducha Acero Inoxidable 20 X ",29900,new,MCO411026
MCO1229828133,"Audífonos In-ear Inalámbricos Bluetooth F9-5 Negro",24256,new,MCO5072
MCO1233639677,"Milky Way Barra De Chocolate Y Caramelo 52.2 G",3960,new,MCO177942
MCO1233749932,"Bascula Pesa Vidrio 180kg Inteligente Con  Bluetoo",32900,new,MCO169104
MCO1241067039,"Deja De Ser Tu Joe Dispenza",60500,new,MCO1196
MCO1241407488,"Alimento Max Cat Professional Line Para Gato Adult",166000,new,MCO1087
MCO1250889253,"Guantes De Nitrilo Talla S - M - L 100 Unidades Co",28300,new,MCO169105
MCO1255600587,"Muñeco De Peluche Chainsaw Man Pochita, 40 Cm, Fig",41308,new,MCO176652
MCO1261264625,"Sérum Serum Ácido Hialurónico L'oréal Paris Revita",53977,new,MCO180917
MCO1262193848,"Disco Sólido Ssd Interno Adata Ultimate Su650 Asu6",72000,new,MCO1672
MCO1265885894,"Xiaomi Pocophone Poco X5 5g Dual Sim 256 Gb Negro ",1050028,new,MCO1055
MCO1266751954,"Pila Recargables Aa X2 Energizer",25000,new,MCO7279
MCO1266840437," Moto G52 Dual Sim 128 Gb Azul 6 Gb Ram",669900,new,MCO1055
MCO1270298146,"Stmnt Juliocvesar Matte Paste - Ml A $9 - mL a $90",94900,new,MCO388015
MCO1271906953,"Batería Pila Cr2025 Nueva Sony Original Litio, 3v,",11000,new,MCO7279
MCO1272255269,"Libro El Poder De La Mente Subconsciente - Origina",22056,new,MCO1196
MCO1272637849,"Minecraft: Java & Bedrock Edition  Microsoft Pc Có",88900,new,MCO163237
MCO1277874836,"Power Bank Pila Bateria Portatil 10000mah Real 1ho",39920,new,MCO39268
MCO1278503733,"Encuentra Tu Persona Vitamina( Libro Y Original )",51500,new,MCO1196
MCO1279406789,"Espejo Punto Ciego Para Retrovisores Carro, 360° S",11200,new,MCO174843
MCO1280553681,"Televisor Kalley 43  Android Smart Fhd Atv43fhde",1015900,new,MCO14903
MCO1280781823,"Betta Buffet Pellets 28gr Omega One Para - g a $49",13900,new,MCO1094
MCO1282445851,"Chocolatina Jet Leche Plegadiza X 50 Un - Kg A $55",29880,new,MCO177942
MCO1283536390,"Hidrolavadora Inalambrica Portátil Recargable 48v ",160900,new,MCO166618
MCO1289710123,"Vitafer Energizante 500ml - mL a $46",15320,new,MCO442309
MCO1289759531,"Audifonos Deportivos Lenovo Thinkplus Xe05 Neckban",39900,new,MCO5072
MCO1296635525,"Omega One Cichlid Pellets Super Color  Small Sinki",60900,new,MCO1094
MCO1298001157,"Minoxidil Forte 5% 5g Solución Tópica E - mL a $66",125600,new,MCO1266
MCO1298484101,"Cargador Cubo +cable Carga Rápida Para iPhone Tipo",22489,new,MCO39268
MCO1302725809,"Omega One Goldfish Small Pellets 226g Al - g a $13",30900,new,MCO1094
MCO1302845917,"Disco Duro Externo Toshiba Canvio Basics Hdtb420xk",259393,new,MCO1672
MCO1305528319,"Silla Gamer Escritorio Ergonomica Giratoria Ajusta",570900,new,MCO447782
MCO1305688647,"Torre Ducha Con Teleducha Telefono Regadera De Bañ",383900,new,MCO436136
MCO1309466399,"Celular Tecno Spark 10 Pro 256gb / 8ram / 50mp",534900,new,MCO1055
MCO1316444417,"Tubifex Gusano Comida Alimento Peces Acuario Omega",36900,new,MCO1094
MCO1344037109,"Castilla Casa Nueva Rentable Venta 7 Aptos 4 Nivel",950000000,new,MCO1468
MCO1344696217,"Venta Casa Via Palmas Sector El Poblado Medellín ",4180000000,used,MCO1468
MCO1345216347,"Renault Logan 1.6 Expression 2015",33300000,used,MCO1744
MCO1345220409,"Chevrolet Optra",28900000,used,MCO1744
MCO1345258795,"Volkswagen Gol Trendline",45900000,used,MCO1744
MCO1345271823,"Volkswagen Gol Trendline ",47500000,used,MCO1744
MCO1355112576,"Arroz Diana - Kg A $4840 - kg a $4680",23900,new,MCO389311
MCO1367809772,"Fifa 23  Standard Edition Electronic Arts Ps4 Digi",74900,new,MCO163237
MCO1391351920,"Padre Rico Padre Pobre Kiyosaki Robert ( Y Origina",37000,new,MCO1196
MCO1433346850,"Tetra Tetracolor Granulos Tropicales X 3 - g a $14",52900,new,MCO1094
MCO1443043292,"Cera Fijador En Barra Con Productos Nat - g a $100",41016,new,MCO388015
MCO1469194004,"Estuche Chocolates Sabor A Licor Borrach - kg a $5",10925,new,MCO177942
MCO1473256260,"Café Sello Rojo Fuerte X 500 Gr",17150,new,MCO409413
MCO1473519128," Cactus Bailarin Imita Voz, Musical, Bailarin Jugu",30991,new,MCO6563
MCO1481986924,"Doble Extractor Leche Materna Eléctrico Real Bubee",70256,new,MCO39945
MCO1507740800,"Bicicleta Estática Home Sale Spinning Color Negro ",562500,new,MCO31049
MCO1514715352,"Adata P20000qcd Power Bank 20000mah Carga Rápida Q",139900,new,MCO39268
MCO1554863580,"Smart Tv Kalley Series W K-atv40fhdw Led Android 1",952900,new,MCO14903
MCO1563649204,"Maíz Cat X20kg - Arena Ecológica Para Gatos - Inhi",112990,new,MCO116338
MCO1563654634,"Audífonos Lenovo Gm2 Pro Inalambrico Gaming Deport",53035,new,MCO5072
MCO1568165218,"Chocolates Garoto Caja 170gr",13320,new,MCO177942
MCO1579941218,"Xiaomi Power Bank  20000 Mah Dual Usb",119000,new,MCO39268
MCO1613602998,"Arroz Diana De 25 Libras",56900,new,MCO389311
MCO1636862216,"Hábitos Atômicos, De James Clear. Editorial Paidós",55000,new,MCO1196
MCO1644527426,"Libro Hábitos Atómicos - James Clear",55000,new,MCO1196
MCO1669711730,"Roku Se | Reproductor De Streaming Hd Con Cable Hd",129900,new,MCO176837
MCO1718493958,"Regadera Cuadrada Ducha Negra Mate Moderna 20 X 20",34900,new,MCO411026
MCO1742275520,"Xiaomi Redmi Note 12s Dual Sim 256 Gb Onyx Black 8",819000,new,MCO1055
